gamma,state,value,sample_variance,sample_std,stderr,ci_lower_95,ci_upper_95,ci_width_95,rank_within_gamma,num_time_steps,num_trajectories,method
0.0,Computer,2.64,6.091313131313132,2.468058575340774,0.2468058575340774,2.1562605192332085,3.1237394807667918,0.9674789615335835,1,10,100,monte_carlo
0.0,Coffee,2.1,0.35353535353535354,0.5945883900105632,0.05945883900105632,1.9834606755579296,2.2165393244420706,0.2330786488841408,2,10,100,monte_carlo
0.0,Home,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3,10,100,monte_carlo
0.0,Chat,0.52,1.8278787878787879,1.3519906759585245,0.13519906759585246,0.2550098275121292,0.7849901724878708,0.5299803449757416,4,10,100,monte_carlo
0.05,Computer,2.61647633183918,7.778813569068912,2.7890524500390654,0.27890524500390657,2.0698220516315233,3.163130612046837,1.0933085604153137,1,10,100,monte_carlo
0.05,Coffee,2.1575845110479492,0.3617545705420491,0.6014603648970139,0.06014603648970139,2.0396982795281344,2.275470742567764,0.23577246303962945,2,10,100,monte_carlo
0.05,Home,1.0780277859418164,0.0011248266708681891,0.033538435724824574,0.0033538435724824573,1.0714542525397508,1.084601319343882,0.013147066804131233,3,10,100,monte_carlo
0.05,Chat,0.49366137325871096,2.0093611369328452,1.4175193603379268,0.14175193603379269,0.2158275786324773,0.7714951678849447,0.5556675892524673,4,10,100,monte_carlo
0.1,Computer,3.42106283524,6.321510890178307,2.5142614999594426,0.25142614999594426,2.9282675812479493,3.9138580892320505,0.9855905079841015,1,10,100,monte_carlo
0.1,Coffee,2.30547250556,0.33569620563234553,0.5793929630504202,0.05793929630504202,2.1919114848021177,2.4190335263178824,0.2271220415157647,2,10,100,monte_carlo
0.1,Home,1.15258483418,0.00391297232065811,0.0625537554480793,0.00625537554480793,1.1403242981121764,1.1648453702478236,0.024521072135647085,3,10,100,monte_carlo
0.1,Chat,0.71301115434,2.228770109543591,1.4929065977292721,0.14929065977292721,0.4204014611850626,1.0056208474949373,0.5852193863098747,4,10,100,monte_carlo
0.15000000000000002,Computer,3.373402524416816,7.593081261948288,2.7555546196633967,0.2755554619663397,2.8333138189627904,3.913491229870842,1.0801774109080515,1,10,100,monte_carlo
0.15000000000000002,Coffee,2.3524252967397654,0.5608797851578223,0.7489190778434092,0.07489190778434092,2.205637157482457,2.4992134359970737,0.2935762785146164,2,10,100,monte_carlo
0.15000000000000002,Home,1.23801722605375,0.008445334351881694,0.09189850027003539,0.00918985002700354,1.220005120000823,1.256029332106677,0.036024212105853874,3,10,100,monte_carlo
0.15000000000000002,Chat,0.6713907469596291,2.506528846360227,1.5832020863933407,0.15832020863933408,0.3610831380265343,0.9816983558927239,0.6206152178661896,4,10,100,monte_carlo
0.2,Computer,3.53274948096,5.676164850923548,2.3824703252975783,0.23824703252975782,3.065785297201675,3.9997136647183256,0.9339283675166506,1,10,100,monte_carlo
0.2,Coffee,2.3925677568,0.5843782913119521,0.7644463953162132,0.07644463953162131,2.2427362633180223,2.542399250281978,0.29966298696395555,2,10,100,monte_carlo
0.2,Home,1.36225734656,0.023469863255582243,0.15319877041145677,0.015319877041145676,1.3322303875593546,1.3922843055606455,0.06005391800129105,3,10,100,monte_carlo
0.2,Chat,0.38037392384,2.578459230434325,1.6057581481762204,0.16057581481762204,0.06564532679746082,0.6951025208825392,0.6294571940850784,4,10,100,monte_carlo
0.25,Computer,3.612604751586914,8.569485397045824,2.927368339831157,0.2927368339831157,3.0388405569800074,4.186368946193821,1.1475283892138135,1,10,100,monte_carlo
0.25,Coffee,2.4637926864624022,0.7619147490131634,0.8728772817602503,0.08728772817602502,2.2927087392373933,2.634876633687411,0.3421678944500181,2,10,100,monte_carlo
0.25,Home,1.4853012466430664,0.03070469098826935,0.17522754061011458,0.017522754061011458,1.450956648683484,1.5196458446026488,0.06868919591916492,3,10,100,monte_carlo
0.25,Chat,0.8293509674072266,3.1143989172578856,1.7647659667100013,0.17647659667100013,0.48345683793206634,1.1752450968823869,0.6917882589503205,4,10,100,monte_carlo
0.30000000000000004,Computer,3.97142059983,7.0577244593390756,2.656637811094895,0.2656637811094895,3.4507195888554008,4.4921216108046,1.0414020219491988,1,10,100,monte_carlo
0.30000000000000004,Coffee,2.5440005486,0.881383204418907,0.9388201129177555,0.09388201129177555,2.3599918064681202,2.72800929073188,0.36801748426376013,2,10,100,monte_carlo
0.30000000000000004,Home,1.58471429548,0.05238239753941353,0.22887201126265644,0.022887201126265643,1.5398553812725193,1.6295732096874807,0.08971782841496131,3,10,100,monte_carlo
0.30000000000000004,Chat,0.94862213584,3.3936306382283856,1.8421809461147907,0.18421809461147906,0.5875546704015011,1.3096896012784989,0.7221349308769979,4,10,100,monte_carlo
0.35000000000000003,Computer,3.7327231528666993,8.833734332069758,2.9721598765998034,0.29721598765998036,3.1501798170531377,4.315266488680261,1.165086671627123,1,10,100,monte_carlo
0.35000000000000003,Coffee,2.7311330026338476,1.3107930604621094,1.1448987118789633,0.11448987118789633,2.5067328551055708,2.9555331501621245,0.4488002950565536,2,10,100,monte_carlo
0.35000000000000003,Home,1.7530865896652932,0.077068395837083,0.27761195189883847,0.027761195189883847,1.6986746470931209,1.8074985322374655,0.10882388514434468,3,10,100,monte_carlo
0.35000000000000003,Chat,1.0431417375387695,3.34974592409713,1.8302311122088188,0.18302311122088188,0.684416439545841,1.401867035531698,0.7174505959858569,4,10,100,monte_carlo
0.4,Computer,3.9884090368,9.124724688597373,3.020715923187312,0.3020715923187312,3.3963487158552867,4.580469357744713,1.1841206418894263,1,10,100,monte_carlo
0.4,Coffee,2.7970406553600005,1.5428851408037965,1.2421292770093604,0.12421292770093603,2.553583317066166,3.040497993653835,0.48691467658766924,2,10,100,monte_carlo
0.4,Home,1.9627624960000003,0.18452558028997945,0.42956440761541154,0.042956440761541155,1.8785678721073795,2.046957119892621,0.16838924778524134,3,10,100,monte_carlo
0.4,Chat,1.1323689472,4.060467992588457,2.01506029502555,0.20150602950255497,0.7374171293749923,1.5273207650250078,0.7899036356500155,4,10,100,monte_carlo
0.45,Computer,4.2024880304144725,10.91022723884983,3.3030633113595975,0.33030633113595975,3.555087621387991,4.849888439440954,1.2948008180529622,1,10,100,monte_carlo
0.45,Coffee,3.169498722390586,1.805341379592118,1.3436299265765548,0.13436299265765547,2.906147256781581,3.4328501879995907,0.5267029312180095,2,10,100,monte_carlo
0.45,Home,2.2096843653042577,0.2987049746725894,0.5465390879640626,0.05465390879640626,2.1025627040633013,2.316806026545214,0.21424332248191255,3,10,100,monte_carlo
0.45,Chat,1.517452182421133,5.11349541708861,2.2613039196641855,0.22613039196641854,1.0742366141669526,1.9606677506753132,0.8864311365083607,4,10,100,monte_carlo
0.5,Computer,4.546953125,11.17054909754281,3.3422371396330948,0.33422371396330947,3.8918746456319133,5.202031604368086,1.310156958736173,1,10,100,monte_carlo
0.5,Coffee,3.32912109375,3.1432516306096856,1.7729217779162412,0.17729217779162412,2.9816284252784166,3.6766137622215833,0.6949853369431666,2,10,100,monte_carlo
0.5,Home,2.3798046875,0.5000673097552675,0.7071543747692348,0.07071543747692348,2.24120243004523,2.51840694495477,0.27720451490954,3,10,100,monte_carlo
0.5,Chat,1.9532421875,5.131710000086312,2.2653277908696374,0.22653277908696373,1.509237940489551,2.397246434510449,0.8880084940208978,4,10,100,monte_carlo
0.55,Computer,5.122163587359219,12.452312767836727,3.528783468539367,0.3528783468539367,4.430522027525503,5.813805147192935,1.3832831196674318,1,10,100,monte_carlo
0.55,Coffee,3.577584558290176,2.7422121981881222,1.6559626198039985,0.16559626198039984,3.2530158848085926,3.9021532317717598,0.6491373469631674,2,10,100,monte_carlo
0.55,Home,2.6718187348755666,0.5798153308485395,0.761456059696513,0.0761456059696513,2.52257334717505,2.8210641225760833,0.2984907754010331,3,10,100,monte_carlo
0.55,Chat,2.2101101970021877,6.101173177206803,2.4700552984107063,0.24700552984107063,1.7259793585136893,2.6942410354906863,0.9682616769769968,4,10,100,monte_carlo
0.6000000000000001,Computer,4.730120304640001,17.072139277656674,4.131844536966108,0.41318445369661083,3.9202787753946433,5.539961833885358,1.6196830584907145,1,10,100,monte_carlo
0.6000000000000001,Coffee,3.9172541952000013,2.797400316773681,1.6725430687350569,0.16725430687350568,3.5894357537279302,4.245072636672073,0.6556368829441422,2,10,100,monte_carlo
0.6000000000000001,Home,2.9221130752000004,0.9330831792071709,0.965962307342875,0.0965962307342875,2.732784462960797,3.111441687439204,0.378657224478407,3,10,100,monte_carlo
0.6000000000000001,Chat,2.221311016960001,6.439414517254431,2.537600149206811,0.2537600149206811,1.723941387715466,2.718680646204536,0.99473925848907,4,10,100,monte_carlo
0.65,Computer,6.4392899035537505,13.79309549687478,3.713905693050751,0.3713905693050751,5.711364387715803,7.167215419391698,1.4558510316758944,1,10,100,monte_carlo
0.65,Coffee,4.664918458834785,6.639849506286221,2.5767905437357963,0.25767905437357963,4.1598675122625695,5.169969405407001,1.010101893144432,2,10,100,monte_carlo
0.65,Home,3.5079898418237305,1.6124329071040147,1.2698160918432302,0.12698160918432302,3.2591058878224572,3.756873795825004,0.4977679080025462,3,10,100,monte_carlo
0.65,Chat,2.6587283599454103,7.5862629811533235,2.75431715333462,0.275431715333462,2.118882197891825,3.198574521998996,1.079692324107171,4,10,100,monte_carlo
0.7000000000000001,Computer,6.619917674210002,17.079468755023107,4.132731391588752,0.4132731391588752,5.8099023214586065,7.429933026961397,1.6200307055027907,1,10,100,monte_carlo
0.7000000000000001,Coffee,4.980292705400001,7.632212772085576,2.762645972991396,0.2762645972991396,4.438814094693687,5.521771316106315,1.0829572214126273,2,10,100,monte_carlo
0.7000000000000001,Home,4.211374926550001,2.054756726485436,1.433442264789704,0.1433442264789704,3.9304202426512194,4.492329610448783,0.561909367797564,3,10,100,monte_carlo
0.7000000000000001,Chat,3.785517254960001,11.831328664699083,3.4396698482120462,0.34396698482120464,3.11134196471044,4.459692545209562,1.348350580499122,4,10,100,monte_carlo
0.75,Computer,7.785266036987305,16.470367423762184,4.058370045198218,0.40583700451982174,6.989825508128455,8.580706565846155,1.5908810577177013,1,10,100,monte_carlo
0.75,Coffee,6.120374565124512,11.521202082618865,3.3942896285701467,0.3394289628570147,5.4550937979247625,6.785655332324261,1.3305615343994974,2,10,100,monte_carlo
0.75,Home,5.036506614685059,2.810610308470773,1.6764874912956473,0.16764874912956473,4.707915066391112,5.365098162979005,0.6571830965878938,3,10,100,monte_carlo
0.75,Chat,4.71050350189209,12.70138363029293,3.5639000589653085,0.35639000589653086,4.011979090334889,5.4090279134492905,1.397048823114401,4,10,100,monte_carlo
0.8,Computer,8.844999106560001,24.39236683235701,4.938862908844202,0.4938862908844202,7.876981976426538,9.813016236693464,1.9360342602669272,1,10,100,monte_carlo
0.8,Coffee,7.151058954240001,11.797338095409875,3.4347253304172485,0.34347253304172487,6.47785278947822,7.824265119001781,1.3464123295235615,2,10,100,monte_carlo
0.8,Home,5.984230543360002,6.088035932680785,2.4673945636401133,0.24673945636401134,5.500621208886539,6.467839877833464,0.9672186689469244,3,10,100,monte_carlo
0.8,Chat,5.097877857280001,12.460651987546882,3.5299648705825506,0.35299648705825504,4.4060047426458215,5.789750971914181,1.3837462292683598,4,10,100,monte_carlo
0.8500000000000001,Computer,8.595042789154123,27.989079601793623,5.290470640859244,0.5290470640859244,7.558110543545711,9.631975034762535,2.0738644912168236,1,10,100,monte_carlo
0.8500000000000001,Home,7.580858141860179,10.029557415786416,3.1669476496756963,0.31669476496756965,6.960136402523743,8.201579881196615,1.241443478672873,2,10,100,monte_carlo
0.8500000000000001,Coffee,7.347078898353889,17.031548834169133,4.126929710349951,0.4126929710349951,6.538200675125299,8.15595712158248,1.6177564464571808,3,10,100,monte_carlo
0.8500000000000001,Chat,5.9841478812473845,20.14256747304912,4.48804717812203,0.448804717812203,5.104490634335467,6.863805128159302,1.7593144938238356,4,10,100,monte_carlo
0.9,Computer,11.203868493250003,38.401854691037705,6.196923001864531,0.619692300186453,9.989271584884555,12.41846540161545,2.429193816730896,1,10,100,monte_carlo
0.9,Coffee,9.746591852590003,28.092045346978274,5.300192953749729,0.5300192953749729,8.707754033655055,10.78542967152495,2.077675637869894,2,10,100,monte_carlo
0.9,Home,8.880845502790002,20.807968277365173,4.5615751969429565,0.45615751969429563,7.986776764189183,9.774914241390821,1.7881374772016387,3,10,100,monte_carlo
0.9,Chat,8.785185363270001,23.34505838112933,4.831672420718248,0.4831672420718248,7.838177568809225,9.732193157730778,1.8940155889215533,4,10,100,monte_carlo
0.9500000000000001,Computer,14.350935219634339,40.904265478016356,6.39564425824454,0.639564425824454,13.097388945018409,15.604481494250269,2.5070925492318596,1,10,100,monte_carlo
0.9500000000000001,Coffee,12.725042549637443,36.87872943795715,6.072785970043498,0.6072785970043497,11.534776499508919,13.915308599765968,2.3805321002570508,2,10,100,monte_carlo
0.9500000000000001,Chat,12.258836528504965,43.03686984350359,6.560249221142715,0.6560249221142714,10.973027681160993,13.544645375848937,2.571617694687944,3,10,100,monte_carlo
0.9500000000000001,Home,10.673360627997365,28.628722929635963,5.3505815506013885,0.5350581550601389,9.624646644079492,11.722074611915238,2.097427967835744,4,10,100,monte_carlo
1.0,Computer,17.58,82.97333333333334,9.108969938106798,0.9108969938106798,15.794641892131066,19.365358107868932,3.570716215737865,1,10,100,monte_carlo
1.0,Chat,14.59,68.6079797979798,8.282993408060868,0.8282993408060868,12.96653329202007,16.21346670797993,3.24693341595986,2,10,100,monte_carlo
1.0,Home,14.27,40.663737373737376,6.37681247754216,0.637681247754216,13.020144754401736,15.519855245598263,2.4997104911965264,3,10,100,monte_carlo
1.0,Coffee,14.12,67.11676767676768,8.192482387943699,0.8192482387943698,12.514273451963035,15.725726548036963,3.21145309607393,4,10,100,monte_carlo
0.0,Computer,2.68,6.886464646464646,2.624207432057277,0.26242074320572767,2.165655343316774,3.1943446566832265,1.0286893133664525,1,20,100,monte_carlo
0.0,Coffee,2.03,0.292020202020202,0.5403889358787817,0.05403889358787817,1.9240837685677585,2.135916231432241,0.2118324628644824,2,20,100,monte_carlo
0.0,Home,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3,20,100,monte_carlo
0.0,Chat,0.35,1.8257575757575757,1.3512059708858513,0.13512059708858512,0.08516362970637315,0.6148363702936268,0.5296727405872537,4,20,100,monte_carlo
0.05,Computer,2.913973879461526,6.504956567879944,2.550481634491796,0.2550481634491796,2.4140794791011344,3.413868279821918,0.9997888007207839,1,20,100,monte_carlo
0.05,Coffee,2.1760495828508577,0.30233976348043456,0.5498543111410826,0.054985431114108266,2.0682781378672055,2.28382102783451,0.2155428899673044,2,20,100,monte_carlo
0.05,Home,1.0779196390812422,0.0010519671533166795,0.03243404312318585,0.003243404312318585,1.0715625666290978,1.0842767115333867,0.012714144904288854,3,20,100,monte_carlo
0.05,Chat,0.2989797933514751,1.8977064280800977,1.377572658003961,0.1377572658003961,0.028975552382698777,0.5689840343202515,0.5400084819375527,4,20,100,monte_carlo
0.1,Computer,3.6400888205357615,5.402102781629235,2.324242410255272,0.2324242410255272,3.184537308125728,4.095640332945795,0.9111030248200666,1,20,100,monte_carlo
0.1,Coffee,2.2294733352042773,0.3397035600659422,0.5828409389069562,0.058284093890695624,2.1152365111785136,2.343710159230041,0.22847364805152684,2,20,100,monte_carlo
0.1,Home,1.14900313534341,0.003521604317122558,0.05934310673635614,0.005934310673635614,1.1373718864230842,1.1606343842637359,0.023262497840651607,3,20,100,monte_carlo
0.1,Chat,0.4831429806218952,2.1785730770984606,1.47599900985687,0.147599900985687,0.19384717468994866,0.7724387865538418,0.5785916118638931,4,20,100,monte_carlo
0.15000000000000002,Computer,2.971357819747628,7.157653724753589,2.6753791740150756,0.26753791740150756,2.446983501640673,3.4957321378545827,1.0487486362139096,1,20,100,monte_carlo
0.15000000000000002,Coffee,2.279113313577631,0.45352493120970844,0.6734425968185472,0.06734425968185473,2.147118564601196,2.4111080625540664,0.2639894979528705,2,20,100,monte_carlo
0.15000000000000002,Home,1.2597101727053612,0.011674688266823382,0.10804947138613581,0.010804947138613581,1.2385324763136787,1.2808878690970438,0.04235539278336524,3,20,100,monte_carlo
0.15000000000000002,Chat,0.662809431438848,2.509719439068894,1.5842094050563185,0.15842094050563185,0.35230438804780956,0.9733144748298863,0.6210100867820768,4,20,100,monte_carlo
0.2,Computer,3.221674217263295,6.896647321963436,2.6261468584150878,0.26261468584150877,2.706949433013938,3.7363990015126523,1.0294495684987144,1,20,100,monte_carlo
0.2,Coffee,2.3592510649255445,0.6224627225560667,0.7889630679290804,0.07889630679290804,2.2046143036114447,2.5138878262396442,0.3092735226281995,2,20,100,monte_carlo
0.2,Home,1.368198770239668,0.024948380849715224,0.15795056457548742,0.015795056457548744,1.3372404595828726,1.3991570808964635,0.061916621313591075,3,20,100,monte_carlo
0.2,Chat,0.5635004534805171,2.725551534914348,1.6509244485785375,0.16509244485785374,0.2399192615591238,0.8870816454019105,0.6471623838427867,4,20,100,monte_carlo
0.25,Computer,3.5451337760244495,7.328168423631837,2.707058998919646,0.2707058998919646,3.014550212236199,4.0757173398127,1.0611671275765011,1,20,100,monte_carlo
0.25,Coffee,2.388319155058489,0.5238982020734565,0.7238081251778378,0.07238081251778378,2.246452762523633,2.530185547593345,0.2837327850697124,2,20,100,monte_carlo
0.25,Home,1.4774868536974464,0.042763122813767075,0.20679246314546154,0.020679246314546155,1.4369555309209359,1.5180181764739569,0.08106264555302092,3,20,100,monte_carlo
0.25,Chat,0.6583572951543101,2.963416842379606,1.721457766655809,0.1721457766655809,0.3209515728897715,0.9957630174188487,0.6748114445290772,4,20,100,monte_carlo
0.30000000000000004,Computer,3.8277400833107316,8.381293977824324,2.8950464552100583,0.28950464552100585,3.26031097808956,4.395169188531903,1.134858210442343,1,20,100,monte_carlo
0.30000000000000004,Coffee,2.42336301302348,0.6473307398806778,0.8045686669767086,0.08045686669767085,2.2656675542960447,2.581058471750915,0.31539091745486975,2,20,100,monte_carlo
0.30000000000000004,Home,1.6475112546069353,0.09503646960177162,0.30827985597792734,0.030827985597792734,1.5870884028352614,1.707934106378609,0.12084570354334752,3,20,100,monte_carlo
0.30000000000000004,Chat,1.0824990958065102,3.2026614667503455,1.7895981299583283,0.17895981299583283,0.7317378623346777,1.4332603292783426,0.7015224669436647,4,20,100,monte_carlo
0.35000000000000003,Computer,3.440120522172322,9.278495186795194,3.0460622427644504,0.304606224276445,2.84309232259049,4.037148721754154,1.1940563991636644,1,20,100,monte_carlo
0.35000000000000003,Coffee,2.7276710908981054,1.1689370442211429,1.081173919506544,0.1081173919506544,2.515761002674823,2.939581179121388,0.4238201764465652,2,20,100,monte_carlo
0.35000000000000003,Home,1.7929912092607672,0.10096564954126583,0.3177509237457317,0.03177509237457317,1.7307120282066037,1.8552703903149306,0.12455836210832683,3,20,100,monte_carlo
0.35000000000000003,Chat,1.1106766630089886,3.7583780951777226,1.9386536810832724,0.19386536810832725,0.7307005415166672,1.49065278450131,0.7599522429846428,4,20,100,monte_carlo
0.4,Computer,3.843238409051351,8.29680997840128,2.8804183686404445,0.28804183686404444,3.278676408797824,4.407800409304878,1.1291240005070542,1,20,100,monte_carlo
0.4,Coffee,3.016520789377316,1.7001579264292594,1.3039010416551018,0.13039010416551017,2.760956185212916,3.272085393541716,0.5111292083287998,2,20,100,monte_carlo
0.4,Home,1.9679672510453157,0.1768795280598447,0.42057047930144204,0.042057047930144205,1.885535437102233,2.0503990649883983,0.1648636278861653,3,20,100,monte_carlo
0.4,Chat,1.4903672533565882,4.491682052883284,2.1193588777937737,0.21193588777937739,1.0749729133090085,1.9057615934041678,0.8307886800951594,4,20,100,monte_carlo
0.45,Computer,4.0012814875035145,9.977979458464267,3.158793987974567,0.3158793987974567,3.382157865860499,4.62040510914653,1.2382472432860303,1,20,100,monte_carlo
0.45,Coffee,3.219804282357911,1.9058680755700637,1.3805318089671326,0.13805318089671326,2.9492200478003534,3.490388516915469,0.541168469115116,2,20,100,monte_carlo
0.45,Home,2.146363008812063,0.20899954471167445,0.4571646800789344,0.04571646800789344,2.056758731516592,2.235967286107534,0.1792085545909423,3,20,100,monte_carlo
0.45,Chat,1.4734069450719742,4.993071170092314,2.2345181069063447,0.22345181069063447,1.0354413961183306,1.9113724940256178,0.8759310979072871,4,20,100,monte_carlo
0.5,Computer,5.2047952461242675,9.335542440371999,3.0554119919205656,0.3055411991920566,4.605934495707837,5.803655996540698,1.1977215008328617,1,20,100,monte_carlo
0.5,Coffee,3.3240356826782227,2.702055578467974,1.643793046118633,0.1643793046118633,3.001852245638971,3.6462191197174745,0.644366874078504,2,20,100,monte_carlo
0.5,Home,2.335795421600342,0.3274761162305584,0.5722552893862655,0.05722552893862655,2.2236333848806336,2.44795745832005,0.22432407343941607,3,20,100,monte_carlo
0.5,Chat,1.7478320121765136,5.317622424639784,2.3059970565115178,0.2305997056511518,1.2958565891002563,2.199807435252771,0.903950846152515,4,20,100,monte_carlo
0.55,Computer,4.629559117873769,11.9114644700871,3.4512989540297867,0.34512989540297867,3.9531045228839305,5.306013712863607,1.3529091899796764,1,20,100,monte_carlo
0.55,Coffee,3.885666076383806,3.553468101925951,1.8850644821665785,0.18850644821665785,3.5161934378791564,4.255138714888456,0.7389452770092988,2,20,100,monte_carlo
0.55,Home,2.906631119835123,0.6572013408788024,0.8106795549900111,0.08106795549900112,2.7477379270570808,3.0655243126131655,0.31778638555608435,3,20,100,monte_carlo
0.55,Chat,1.8137061515809298,5.635739314417844,2.3739712117921403,0.23739712117921402,1.3484077940696704,2.2790045090921893,0.930596715022519,4,20,100,monte_carlo
0.6000000000000001,Computer,5.6567618806682605,12.713928473679205,3.5656596127055096,0.35656596127055096,4.957892596577981,6.35563116475854,1.3977385681805596,1,20,100,monte_carlo
0.6000000000000001,Coffee,3.843551477580826,3.509897193904943,1.873471962401611,0.1873471962401611,3.4763509729501103,4.210751982211542,0.7344010092614315,2,20,100,monte_carlo
0.6000000000000001,Home,2.916720015329389,0.687864784657507,0.8293761418424737,0.08293761418424736,2.754162291528264,3.079277739130514,0.32511544760224964,3,20,100,monte_carlo
0.6000000000000001,Chat,2.8298670559591494,9.231212752601056,3.0382910908273844,0.3038291090827384,2.234362002156982,3.425372109761317,1.1910101076043345,4,20,100,monte_carlo
0.65,Computer,5.972406226594252,14.083255927166258,3.752766436532689,0.3752766436532689,5.236864005033845,6.707948448154659,1.471084443120814,1,20,100,monte_carlo
0.65,Coffee,4.597945696474253,6.664360591011536,2.581542289216184,0.25815422892161843,4.091963407787881,5.103927985160625,1.0119645773727441,2,20,100,monte_carlo
0.65,Home,3.547790783480746,1.2048851479011662,1.0976726050608925,0.10976726050608925,3.332646952888811,3.762934614072681,0.43028766118386985,3,20,100,monte_carlo
0.65,Chat,3.009577487960099,10.18460419151792,3.1913326670088655,0.31913326670088654,2.3840762852263615,3.635078690693837,1.2510024054674753,4,20,100,monte_carlo
0.7000000000000001,Computer,6.4827998227926455,16.751807913356124,4.092897251746753,0.4092897251746753,5.680591961450282,7.285007684135009,1.6044157226847273,1,20,100,monte_carlo
0.7000000000000001,Coffee,5.060395612934304,7.809093817342913,2.79447558896887,0.279447558896887,4.512678397496406,5.608112828372202,1.095434430875797,2,20,100,monte_carlo
0.7000000000000001,Chat,4.351807420976702,12.963374356035818,3.6004686300585673,0.36004686300585675,3.6461155694852234,5.057499272468181,1.4113837029829583,3,20,100,monte_carlo
0.7000000000000001,Home,4.27213812760434,2.1170320959535016,1.4550024384699503,0.14550024384699503,3.9869576496642303,4.557318605544451,0.5703609558802205,4,20,100,monte_carlo
0.75,Computer,7.455518975278755,18.588032987353166,4.311384115032337,0.4311384115032337,6.610487688732417,8.300550261825093,1.690062573092676,1,20,100,monte_carlo
0.75,Coffee,6.351697248984965,8.807953232902031,2.9678196092252693,0.29678196092252696,5.770004605576812,6.933389892393118,1.1633852868163057,2,20,100,monte_carlo
0.75,Home,5.417473029419089,3.4573505394214465,1.859395207969905,0.1859395207969905,5.053031568656987,5.78191449018119,0.7288829215242028,3,20,100,monte_carlo
